resume_id,filename,category,model,semantic_alignment,n_recommendations,avg_score,top5_avg,top5_vs_next5_gap
APPAREL/91026230.pdf,91026230.pdf,APPAREL,ConFit v2,0.698681,15,0.7788,0.789,0.0091
APPAREL/91026230.pdf,91026230.pdf,APPAREL,ColBERT,0.690568,15,0.7884,0.8516,0.0713
APPAREL/91026230.pdf,91026230.pdf,APPAREL,CrossEncoder,0.753056,15,0.2979,0.3345,0.0475
APPAREL/91026230.pdf,91026230.pdf,APPAREL,Hybrid (RRF),0.734271,15,0.7461,0.9793,0.2311
ARTS/14248724.pdf,14248724.pdf,ARTS,ConFit v2,0.787555,15,0.7921,0.8113,0.0255
ARTS/14248724.pdf,14248724.pdf,ARTS,ColBERT,0.786067,15,0.5851,0.6873,0.1318
ARTS/14248724.pdf,14248724.pdf,ARTS,CrossEncoder,0.789149,15,0.259,0.2744,0.0207
ARTS/14248724.pdf,14248724.pdf,ARTS,Hybrid (RRF),0.783009,15,0.8163,0.9588,0.0697
ARTS/32794700.pdf,32794700.pdf,ARTS,ConFit v2,0.750233,15,0.784,0.7928,0.0104
ARTS/32794700.pdf,32794700.pdf,ARTS,ColBERT,0.743439,15,0.6866,0.8059,0.1357
ARTS/32794700.pdf,32794700.pdf,ARTS,CrossEncoder,0.724427,15,0.2951,0.363,0.0948
ARTS/32794700.pdf,32794700.pdf,ARTS,Hybrid (RRF),0.730286,15,0.7523,0.9731,0.141
ARTS/36758947.pdf,36758947.pdf,ARTS,ConFit v2,0.711091,15,0.8085,0.8164,0.0082
ARTS/36758947.pdf,36758947.pdf,ARTS,ColBERT,0.747387,15,0.7084,0.7824,0.0874
ARTS/36758947.pdf,36758947.pdf,ARTS,CrossEncoder,0.754956,15,0.2563,0.2612,0.0063
ARTS/36758947.pdf,36758947.pdf,ARTS,Hybrid (RRF),0.745798,15,0.7948,0.9619,0.0858
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,ConFit v2,0.70688,15,0.7869,0.7974,0.0123
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,ColBERT,0.694601,15,0.7915,0.8428,0.0613
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,CrossEncoder,0.707742,15,0.2905,0.3144,0.031
AUTOMOBILE/11257723.pdf,11257723.pdf,AUTOMOBILE,Hybrid (RRF),0.676464,15,0.6149,0.8617,0.3595
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,ConFit v2,0.751655,15,0.7777,0.7875,0.0105
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,ColBERT,0.710076,15,0.8107,0.8571,0.0593
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,CrossEncoder,0.740599,15,0.2614,0.278,0.0221
AUTOMOBILE/11797122.pdf,11797122.pdf,AUTOMOBILE,Hybrid (RRF),0.732469,15,0.6995,0.961,0.304
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,ConFit v2,0.753384,15,0.7971,0.8049,0.0084
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,ColBERT,0.769356,15,0.6721,0.7731,0.1344
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,CrossEncoder,0.758657,15,0.2529,0.258,0.0058
AUTOMOBILE/47487091.pdf,47487091.pdf,AUTOMOBILE,Hybrid (RRF),0.767444,15,0.7602,0.9582,0.094
AVIATION/11959428.pdf,11959428.pdf,AVIATION,ConFit v2,0.81278,15,0.8075,0.8177,0.0117
AVIATION/11959428.pdf,11959428.pdf,AVIATION,ColBERT,0.74302,15,0.8181,0.8525,0.0397
AVIATION/11959428.pdf,11959428.pdf,AVIATION,CrossEncoder,0.745539,15,0.5077,0.6268,0.1516
AVIATION/11959428.pdf,11959428.pdf,AVIATION,Hybrid (RRF),0.784794,15,0.6522,0.9424,0.4234
AVIATION/16279537.pdf,16279537.pdf,AVIATION,ConFit v2,0.771371,15,0.7841,0.7926,0.0103
AVIATION/16279537.pdf,16279537.pdf,AVIATION,ColBERT,0.761056,15,0.8062,0.8499,0.0536
AVIATION/16279537.pdf,16279537.pdf,AVIATION,CrossEncoder,0.767805,15,0.2658,0.2825,0.0231
AVIATION/16279537.pdf,16279537.pdf,AVIATION,Hybrid (RRF),0.759677,15,0.7454,0.9524,0.151
AVIATION/16833515.pdf,16833515.pdf,AVIATION,ConFit v2,0.767683,15,0.8244,0.8314,0.0083
AVIATION/16833515.pdf,16833515.pdf,AVIATION,ColBERT,0.796115,15,0.6958,0.8144,0.1512
AVIATION/16833515.pdf,16833515.pdf,AVIATION,CrossEncoder,0.796977,15,0.2646,0.271,0.0082
AVIATION/16833515.pdf,16833515.pdf,AVIATION,Hybrid (RRF),0.801454,15,0.8526,0.9752,0.077
