model_a,model_b,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,CrossEncoder,rbo,304,0.343304,0.3,0.194452,0.321445,0.365163
ColBERT,CrossEncoder,jaccard_at_10,304,0.329049,0.25,0.207043,0.305775,0.352324
ColBERT,CrossEncoder,overlap_at_10,304,4.625,4.0,2.139716,4.384467,4.865533
ColBERT,Hybrid (RRF),rbo,304,0.615038,0.6107,0.151096,0.598053,0.632024
ColBERT,Hybrid (RRF),jaccard_at_10,304,0.592879,0.5385,0.187842,0.571763,0.613995
ColBERT,Hybrid (RRF),overlap_at_10,304,7.276316,7.0,1.438267,7.114635,7.437997
ConFit v2,ColBERT,rbo,304,0.337605,0.3276,0.143361,0.32149,0.353721
ConFit v2,ColBERT,jaccard_at_10,304,0.283051,0.25,0.143093,0.266965,0.299136
ConFit v2,ColBERT,overlap_at_10,304,4.230263,4.0,1.654957,4.044223,4.416303
ConFit v2,CrossEncoder,rbo,304,0.239024,0.2108,0.142045,0.223057,0.254992
ConFit v2,CrossEncoder,jaccard_at_10,304,0.212774,0.1765,0.127297,0.198464,0.227084
ConFit v2,CrossEncoder,overlap_at_10,304,3.338816,3.0,1.64317,3.154101,3.523531
ConFit v2,Hybrid (RRF),rbo,304,0.312167,0.29675,0.139573,0.296478,0.327857
ConFit v2,Hybrid (RRF),jaccard_at_10,304,0.260537,0.25,0.13008,0.245914,0.27516
ConFit v2,Hybrid (RRF),overlap_at_10,304,3.973684,4.0,1.570972,3.797085,4.150283
CrossEncoder,Hybrid (RRF),rbo,304,0.514016,0.4912,0.15042,0.497107,0.530925
CrossEncoder,Hybrid (RRF),jaccard_at_10,304,0.526058,0.5385,0.151575,0.509019,0.543097
CrossEncoder,Hybrid (RRF),overlap_at_10,304,6.773026,7.0,1.233925,6.634316,6.911736
