run_id,algorithm,started_at,practice_category,simulator,metric_name,metric_value,canonical_subject
39feaa31-0a65-4853-ba88-c95064b694d0,rule_weakest_topic,2026-08-24 09:02:19.282020+00:00,Programming & DSA,bkt_generative,mean_true_mastery,0.27022257487493556,Programming and Data Structures
39feaa31-0a65-4853-ba88-c95064b694d0,rule_weakest_topic,2026-08-24 09:02:19.282020+00:00,Programming & DSA,bkt_generative,concepts_touched,368.0,Programming and Data Structures
6d6907a5-b163-4b97-b05a-f90dba4595d3,random,2026-08-24 09:00:55.125532+00:00,Programming & DSA,irt_generative,accuracy,0.5643085807545039,Programming and Data Structures
6d6907a5-b163-4b97-b05a-f90dba4595d3,random,2026-08-24 09:00:55.125532+00:00,Programming & DSA,irt_generative,n_asked,15931.0,Programming and Data Structures
6d6907a5-b163-4b97-b05a-f90dba4595d3,random,2026-08-24 09:00:55.125532+00:00,Programming & DSA,irt_generative,mean_true_mastery,0.5222934031844639,Programming and Data Structures
6d6907a5-b163-4b97-b05a-f90dba4595d3,random,2026-08-24 09:00:55.125532+00:00,Programming & DSA,irt_generative,concepts_touched,369.0,Programming and Data Structures
55eac702-cedb-476f-991c-c05f6e140829,random,2026-08-24 09:00:29.460001+00:00,Programming & DSA,bkt_generative,mean_true_mastery,0.34158346096429076,Programming and Data Structures
55eac702-cedb-476f-991c-c05f6e140829,random,2026-08-24 09:00:29.460001+00:00,Programming & DSA,bkt_generative,n_asked,15916.0,Programming and Data Structures
55eac702-cedb-476f-991c-c05f6e140829,random,2026-08-24 09:00:29.460001+00:00,Programming & DSA,bkt_generative,concepts_touched,199.0,Algorithms
55eac702-cedb-476f-991c-c05f6e140829,random,2026-08-24 09:00:29.460001+00:00,Programming & DSA,bkt_generative,accuracy,0.41821743388834476,Algorithms
c141c68c-5300-4a71-9579-6e72add054ba,bkt_ema_epsilon_greedy,2026-08-24 08:57:50.865268+00:00,Engineering Mathematics,irt_generative,n_asked,12265.0,Engineering Mathematics
c141c68c-5300-4a71-9579-6e72add054ba,bkt_ema_epsilon_greedy,2026-08-24 08:57:50.865268+00:00,Engineering Mathematics,irt_generative,mean_true_mastery,0.5206002043764918,Engineering Mathematics
c141c68c-5300-4a71-9579-6e72add054ba,bkt_ema_epsilon_greedy,2026-08-24 08:57:50.865268+00:00,Engineering Mathematics,irt_generative,concepts_touched,173.0,Engineering Mathematics
c141c68c-5300-4a71-9579-6e72add054ba,bkt_ema_epsilon_greedy,2026-08-24 08:57:50.865268+00:00,Engineering Mathematics,irt_generative,accuracy,0.6129282482223659,Discrete Mathematics
6bed8ad6-02a3-4670-9790-804408c9b42f,bkt_ema_epsilon_greedy,2026-08-24 08:57:13.918561+00:00,Engineering Mathematics,bkt_generative,n_asked,12199.0,Engineering Mathematics
6bed8ad6-02a3-4670-9790-804408c9b42f,bkt_ema_epsilon_greedy,2026-08-24 08:57:13.918561+00:00,Engineering Mathematics,bkt_generative,accuracy,0.40585293876547257,Engineering Mathematics
6bed8ad6-02a3-4670-9790-804408c9b42f,bkt_ema_epsilon_greedy,2026-08-24 08:57:13.918561+00:00,Engineering Mathematics,bkt_generative,mean_true_mastery,0.29791327807927726,Engineering Mathematics
