run_id,algorithm,started_at,practice_category,simulator,metric_name,metric_value
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,subject_concepts_touched,363.0
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,subject_mean_true_mastery,0.5219268247770323
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,subject_accuracy,0.6218109054527263
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,subject_n_asked,13993.0
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,difficulty_match_rate,0.3611
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,repeat_rate,0.0
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,diversity,0.0276
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,coverage,0.971830985915493
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,questions_to_mastery,1.0
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,calibration_error,0.2259239966324531
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,log_loss,0.773378810429847
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,brier_score,0.28918466150381866
a5b981e6-149b-46a9-98d7-9e1f7b600101,bkt,2026-08-24 09:11:25.225292+00:00,Programming & DSA,irt_generative,roc_auc,0.491414649554463
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,roc_auc,0.5052286103189759
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,difficulty_match_rate,0.4719
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,repeat_rate,0.0
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,diversity,0.02775
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,coverage,0.977112676056338
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,questions_to_mastery,3.0
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,calibration_error,0.02776860602641512
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,log_loss,0.6764246261978928
ac8a99ce-8da1-468e-ac62-d77e8bfddd75,bkt,2026-08-24 09:10:30.680815+00:00,Programming & DSA,bkt_generative,subject_concepts_touched,188.0
