model_a,model_b,metric,n,mean,median,std,ci95_low,ci95_high
ColBERT,CrossEncoder,rbo,304,0.343565,0.30165,0.194363,0.321716,0.365414
ColBERT,CrossEncoder,jaccard_at_10,304,0.328808,0.25,0.207179,0.305518,0.352097
ColBERT,CrossEncoder,overlap_at_10,304,4.621711,4.0,2.141448,4.380982,4.862439
ConFit v2,ColBERT,rbo,304,0.337101,0.32615,0.143537,0.320965,0.353237
ConFit v2,ColBERT,jaccard_at_10,304,0.283003,0.25,0.142799,0.26695,0.299055
ConFit v2,ColBERT,overlap_at_10,304,4.230263,4.0,1.652962,4.044448,4.416079
ConFit v2,CrossEncoder,rbo,304,0.23943,0.21245,0.141948,0.223473,0.255387
ConFit v2,CrossEncoder,jaccard_at_10,304,0.212989,0.1765,0.127179,0.198692,0.227286
ConFit v2,CrossEncoder,overlap_at_10,304,3.342105,3.0,1.641481,3.15758,3.52663
