resume_id,filename,category,model_a,model_b,rbo,jaccard_at_10,overlap_at_10
INFORMATION-TECHNOLOGY/83816738.pdf,83816738.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.5196,0.5385,7
INFORMATION-TECHNOLOGY/83816738.pdf,83816738.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.1548,0.0526,1
INFORMATION-TECHNOLOGY/83816738.pdf,83816738.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.2183,0.0526,1
INFORMATION-TECHNOLOGY/89413122.pdf,89413122.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.3058,0.3333,5
INFORMATION-TECHNOLOGY/89413122.pdf,89413122.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.2022,0.25,4
INFORMATION-TECHNOLOGY/89413122.pdf,89413122.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.5029,0.6667,8
INFORMATION-TECHNOLOGY/90867631.pdf,90867631.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.3681,0.1765,3
INFORMATION-TECHNOLOGY/90867631.pdf,90867631.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.17,0.1765,3
INFORMATION-TECHNOLOGY/90867631.pdf,90867631.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.4259,0.4286,6
INFORMATION-TECHNOLOGY/91121135.pdf,91121135.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.5813,0.5385,7
INFORMATION-TECHNOLOGY/91121135.pdf,91121135.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.1182,0.1765,3
INFORMATION-TECHNOLOGY/91121135.pdf,91121135.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.2552,0.3333,5
INFORMATION-TECHNOLOGY/91635250.pdf,91635250.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.1736,0.1765,3
INFORMATION-TECHNOLOGY/91635250.pdf,91635250.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.1701,0.25,4
INFORMATION-TECHNOLOGY/91635250.pdf,91635250.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.156,0.1111,2
INFORMATION-TECHNOLOGY/91697974.pdf,91697974.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.3234,0.3333,5
INFORMATION-TECHNOLOGY/91697974.pdf,91697974.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.1229,0.25,4
INFORMATION-TECHNOLOGY/91697974.pdf,91697974.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.2676,0.4286,6
INFORMATION-TECHNOLOGY/92069209.pdf,92069209.pdf,INFORMATION-TECHNOLOGY,ConFit v2,ColBERT,0.221,0.25,4
INFORMATION-TECHNOLOGY/92069209.pdf,92069209.pdf,INFORMATION-TECHNOLOGY,ConFit v2,CrossEncoder,0.1961,0.25,4
INFORMATION-TECHNOLOGY/92069209.pdf,92069209.pdf,INFORMATION-TECHNOLOGY,ColBERT,CrossEncoder,0.1724,0.1765,3
PUBLIC-RELATIONS/11624880.pdf,11624880.pdf,PUBLIC-RELATIONS,ConFit v2,ColBERT,0.7283,0.6667,8
PUBLIC-RELATIONS/11624880.pdf,11624880.pdf,PUBLIC-RELATIONS,ConFit v2,CrossEncoder,0.2642,0.25,4
PUBLIC-RELATIONS/11624880.pdf,11624880.pdf,PUBLIC-RELATIONS,ColBERT,CrossEncoder,0.2539,0.25,4
PUBLIC-RELATIONS/38056161.pdf,38056161.pdf,PUBLIC-RELATIONS,ConFit v2,ColBERT,0.3567,0.1765,3
PUBLIC-RELATIONS/38056161.pdf,38056161.pdf,PUBLIC-RELATIONS,ConFit v2,CrossEncoder,0.1745,0.1111,2
PUBLIC-RELATIONS/38056161.pdf,38056161.pdf,PUBLIC-RELATIONS,ColBERT,CrossEncoder,0.4435,0.5385,7
PUBLIC-RELATIONS/65237556.pdf,65237556.pdf,PUBLIC-RELATIONS,ConFit v2,ColBERT,0.3378,0.4286,6
PUBLIC-RELATIONS/65237556.pdf,65237556.pdf,PUBLIC-RELATIONS,ConFit v2,CrossEncoder,0.2007,0.3333,5
PUBLIC-RELATIONS/65237556.pdf,65237556.pdf,PUBLIC-RELATIONS,ColBERT,CrossEncoder,0.2983,0.3333,5
SALES/14381464.pdf,14381464.pdf,SALES,ConFit v2,ColBERT,0.2393,0.1111,2
SALES/14381464.pdf,14381464.pdf,SALES,ConFit v2,CrossEncoder,0.1123,0.1765,3
SALES/14381464.pdf,14381464.pdf,SALES,ColBERT,CrossEncoder,0.3148,0.4286,6
SALES/26530696.pdf,26530696.pdf,SALES,ConFit v2,ColBERT,0.7221,0.6667,8
SALES/26530696.pdf,26530696.pdf,SALES,ConFit v2,CrossEncoder,0.1146,0.0526,1
SALES/26530696.pdf,26530696.pdf,SALES,ColBERT,CrossEncoder,0.1098,0.0526,1
SALES/29134721.pdf,29134721.pdf,SALES,ConFit v2,ColBERT,0.4478,0.4286,6
SALES/29134721.pdf,29134721.pdf,SALES,ConFit v2,CrossEncoder,0.4637,0.3333,5
SALES/29134721.pdf,29134721.pdf,SALES,ColBERT,CrossEncoder,0.5223,0.5385,7
TEACHER/13330982.pdf,13330982.pdf,TEACHER,ConFit v2,ColBERT,0.4349,0.25,4
TEACHER/13330982.pdf,13330982.pdf,TEACHER,ConFit v2,CrossEncoder,0.4915,0.3333,5
TEACHER/13330982.pdf,13330982.pdf,TEACHER,ColBERT,CrossEncoder,0.5217,0.6667,8
TEACHER/25588694.pdf,25588694.pdf,TEACHER,ConFit v2,ColBERT,0.33,0.4286,6
TEACHER/25588694.pdf,25588694.pdf,TEACHER,ConFit v2,CrossEncoder,0.3284,0.4286,6
TEACHER/25588694.pdf,25588694.pdf,TEACHER,ColBERT,CrossEncoder,0.3481,0.4286,6
TEACHER/34689720.pdf,34689720.pdf,TEACHER,ConFit v2,ColBERT,0.6033,0.3333,5
TEACHER/34689720.pdf,34689720.pdf,TEACHER,ConFit v2,CrossEncoder,0.1803,0.25,4
TEACHER/34689720.pdf,34689720.pdf,TEACHER,ColBERT,CrossEncoder,0.1317,0.1765,3
